keyword,keyword_num_documents
the,5377399
enron,4150379
com,3432672
and,2464170
for,1394307
you,1152794
ect,1080447
that,1056908
this,855524
recipients,825170
from,775457
with,736108
will,719552
have,674901
are,630183
hou,589559
2001,501664
not,477035
your,455868
2000,353430
please,346433
has,337543
subject,327310
all,325985
would,318947
energy,315807
mail,312105
any,310074
was,304939
power,295979
can,289390
http,285454
our,283004
corp,267833
but,262351
new,260936
said,240501
message,238283
they,234177
may,233449
www,213488
gas,209573
about,204518
its,203539
more,202684
john,202650
mark,202434
which,200981
sent,200151
filename,198817
company,197817
know,196786
time,195110
out,188918
one,187874
been,183332
there,179237
origin,176191
thanks,172866
what,171823
ees,171387
market,170623
also,170504
original,169219
their,168983
information,167344
get,166207
other,162222
state,161037
california,155928
need,155243
should,153961
net,150596
call,148023
some,147907
forwarded,145384
these,144106
day,143832
pmto,141960
like,138285
week,136155
david,135770
business,135621
jeff,135375
let,135361
when,134877
who,134600
713,134470
font,131615
price,130652
year,128869
see,126906
were,126185
could,124024
had,123580
just,120285
only,119662
image,119107
email,119077
his,117855
last,117653
now,116389
into,114930
than,114589
folder,111043
michael,109459
mike,108403
how,107620
don,107575
over,107417
amto,107349
richard,104925
meeting,104618
them,104428
group,104237
davis,103108
deal,102896
jones,102457
make,102337
agreement,101854
scott,101445
two,101200
attached,101161
robert,101138
here,100962
use,100824
bill,100735
notes,100669
trading,100037
questions,98813
james,98196
chris,97981
today,97577
houston,97299
enron_development,96635
steve,96570
bcc,93916
first,93072
back,92073
next,91501
contact,90388
000,90143
think,88858
work,88830
inc,88525
smith,88482
through,88445
after,87737
non,87183
million,86834
paul,86763
monday,85916
aol,85753
date,85130
want,83379
take,82984
report,82705
service,82340
friday,82324
susan,82307
credit,82231
help,82004
enronxgate,81736
each,81632
well,81036
free,80312
services,80141
ectcc,80009
prices,79616
way,79297
going,79082
doc,79022
electricity,78790
following,78183
joe,77813
contract,77683
under,77186
system,76881
williams,75653
mary,75632
financial,75225
off,75093
review,75008
good,74909
news,74310
privileged,74194
very,73832
org,73558
kay,73547
2002,73259
such,72872
per,72634
because,72375
right,72242
file,72137
folders,72056
available,71289
list,71225
thursday,70258
team,70171
number,69769
tuesday,69620
send,69362
still,69114
companies,69009
forward,68988
management,68892
eric,68712
october,68424
before,68197
then,68073
order,68042
based,67954
edu,67678
those,67547
wednesday,66907
kevin,66771
risk,66306
much,66245
below,66241
legal,66071
tom,66071
steven,66068
office,65477
most,65203
change,65161
click,64719
issues,64346
gov,64308
communications,63827
long,63780
plan,63776
did,63004
november,62907
schedule,62891
made,62887
best,62849
mailto,62709
people,62633
provide,62475
between,62311
rate,62058
she,61957
access,61828
type,61675
data,61657
ferc,61429
while,61135
final,61100
texas,60941
north,60820
version,60519
customers,60452
size,59984
taylor,59768
thank,59311
down,59174
received,59119
being,59016
name,58757
lisa,58700
project,58561
vince,58509
him,58320
since,58095
during,57812
both,57810
where,57765
end,57620
853,57616
notesaddr,57452
comments,57421
look,56824
find,56617
dasovich,56588
america,56065
jim,55758
month,55714
request,55438
give,55194
term,55184
changes,55081
many,54841
january,54624
billion,54524
markets,54423
20the,54308
issue,54251
process,54188
set,53974
president,53866
natural,53863
scheduled,53848
does,53468
commission,53460
utilities,53182
mann,52692
address,52634
stock,52411
kaminski,52186
bob,52009
buy,51761
ena,51633
support,51585
years,51457
greg,51415
however,51249
cost,50985
iso,50930
days,50903
public,50758
home,50667
utility,50522
her,50319
jeffrey,50317
transfer,50142
karen,50069
conference,49989
until,49868
center,49859
deals,49678
line,49220
internet,49074
lon,48985
including,48974
sure,48952
text,48887
high,48863
dynegy,48808
phone,48728
asp,48501
working,48474
receive,48436
kean,48238
trade,48231
contracts,48225
offer,48176
current,48120
fax,48119
electric,48022
sara,47964
employees,47934
must,47907
online,47883
copy,47814
june,47599
york,47468
intended,47256
part,47143
firm,47021
comx,46794
great,46594
frank,46520
class,46466
capacity,46385
december,46330
site,46330
same,45961
note,45955
george,45850
pay,45791
san,45783
times,45477
due,45456
regarding,45359
letter,45335
even,45270
draft,45154
point,44852
march,44850
three,44222
rates,43990
hotmail,43738
industry,43657
april,43495
global,43447
daily,43390
against,43280
additional,43237
place,43167
web,43069
able,43051
top,42821
dan,42819
thomas,42678
put,42509
discuss,42366
hour,42277
hope,42100
possible,42099
come,42048
include,42038
value,41848
again,41790
larry,41786
form,41699
transmission,41630
start,41526
might,41478
program,41416
align,41189
yahoo,41173
keep,41064
plant,40830
error,40790
enroncc,40774
jennifer,40717
board,40711
position,40513
shackleton,40358
purchase,40292
continue,40201
products,40155
committee,39908
money,39862
transactions,39844
few,39730
law,39722
another,39643
cash,39593
research,39585
already,39558
pete,39525
key,39503
further,39439
costs,39368
percent,39318
demand,39211
tim,39167
customer,39135
100,39066
recipient,39056
linda,39014
above,38696
case,38622
william,38604
exchange,38521
too,38424
say,38330
street,38169
gif,38084
stephanie,38024
morning,38018
face,38009
world,37999
brown,37930
asked,37925
whether,37653
believe,37604
general,37602
carol,37556
city,37503
area,37462
encoding,37414
details,37410
allen,37321
london,37229
product,37190
ryan,37074
oil,37068
open,37056
party,37029
within,37028
interest,36996
updated,36971
soon,36915
table,36473
used,36465
says,36370
rick,36370
supply,36301
check,36196
needs,36140
future,36124
federal,36078
dow,36065
west,36061
regards,35896
around,35818
july,35731
currently,35622
steffes,35543
left,35512
page,35445
width,35434
transaction,35432
tomorrow,35409
development,35348
white,35324
plain,35292
meet,35247
peter,35241
without,35210
database,35099
jason,35096
html,35096
miller,35085
shapiro,35082
game,34943
elizabeth,34832
ken,34687
charset,34600
total,34521
tana,34520
short,34482
capital,34406
rights,34317
real,34298
generation,34277
sell,34275
government,34246
lay,34213
edison,34103
duke,33862
sales,33857
several,33838
done,33722
dave,33689
michelle,33641
months,33633
wholesale,33598
brian,33543
thru,33309
visit,33289
september,33156
comsubject,33148
discussion,33109
staff,33080
kim,33035
members,32934
href,32917
summer,32896
sat,32871
court,32869
jan,32824
better,32780
big,32775
looking,32765
little,32636
0content,32557
option,32551
plants,32529
operations,32522
tax,32365
sale,32323
own,32293
got,32267
night,32186
cpuc,32177
gary,32108
leslie,32060
executive,31968
full,31934
pipeline,31929
policy,31669
marketing,31667
notice,31653
basis,31590
really,31552
images,31492
nbsp,31313
investment,31291
expected,31251
fantasy,31131
person,30901
resources,30862
chairman,30812
proposed,30757
distribution,30692
talk,30598
approval,30531
account,30448
house,30420
options,30363
using,30363
technology,30358
weeks,30301
kelly,30264
august,30224
required,30188
problem,30068
action,30031
terms,30012
view,29974
told,29974
yet,29956
kimberly,29939
share,29927
move,29896
martin,29892
master,29887
confidential,29880
february,29806
reports,29759
points,29750
unit,29711
either,29702
getting,29673
alan,29650
book,29641
646,29609
period,29589
update,29481
increase,29378
daniel,29230
things,29211
document,29192
later,29133
documents,29112
given,29087
run,29065
amount,29063
asciicontent,28994
once,28963
past,28910
craig,28789
second,28702
special,28684
pge,28661
outages,28603
early,28586
index,28581
every,28575
section,28547
return,28525
shall,28510
complete,28449
yesterday,28445
bush,28436
corporate,28426
regulatory,28394
close,28377
berkeley,28344
problems,28331
chief,28314
international,28306
department,28274
direct,28160
doug,28129
anything,28128
provided,28114
345,28111
feel,28095
guzman,28037
read,28022
haas,27947
link,27945
found,27906
less,27841
plans,27755
love,27711
delivery,27697
prior,27641
states,27556
johnson,27511
assets,27495
related,27486
phillip,27383
isda,27368
sarah,27363
crisis,27338
joseph,27331
why,27256
national,27126
systems,27099
desk,26978
called,26974
travel,26951
control,26932
via,26909
press,26859
omni,26825
germany,26820
copyright,26818
doing,26761
together,26733
sportsline,26682
interested,26617
important,26554
1999,26495
something,26456
response,26382
harry,26356
matthew,26251
third,26234
sunday,26207
stephen,26166
weekend,26136
border,26109
addition,26103
governor,26101
director,26081
try,26066
everyone,26053
investors,25995
documentsx,25978
andrew,25956
weather,25908
lee,25833
status,25827
limited,25762
having,25747
event,25738
wanted,25726
iii,25700
kate,25697
counterparty,25665
american,25645
decision,25642
pdx,25642
eol,25533
bank,25478
anyone,25451
commercial,25436
hours,25425
arial,25380
quarter,25379
dean,25318
thought,25239
probably,25236
language,25198
cannot,25168
moore,25121
employee,25103
member,25074
four,24973
laura,24924
low,24860
shares,24838
far,24825
south,24813
calpine,24800
kathy,24775
sanders,24764
least,24743
production,24728
content,24707
bankruptcy,24574
others,24549
immediately,24533
etc,24482
impact,24467
likely,24426
needed,24426
level,24354
sally,24319
recent,24283
800,24251
add,24225
question,24195
nelson,24186
fri,24176
job,24135
making,24116
mara,24097
info,24079
numbers,23982
washington,23956
andy,23886
dec,23873
network,23749
500,23726
mid,23709
major,23572
sun,23569
portland,23549
room,23543
didn,23528
edward,23512
reserved,23464
black,23439
matt,23357
generators,23348
harris,23326
europe,23254
payment,23242
comcc,23240
added,23227
ask,23207
volume,23186
schedules,23154
old,23137
follow,23083
debt,23038
sign,22998
discussed,22975
performance,22900
charles,22898
beck,22876
create,22867
owner,22829
inboxx,22782
ben,22711
administration,22664
trying,22619
fuel,22611
included,22559
analysis,22472
hall,22456
skean,22368
rob,22352
load,22339
msn,22336
effective,22301
opportunity,22270
result,22236
someone,22226
businesses,22224
signed,22206
potential,22205
cgi,22177
storage,22172
small,22140
vice,22133
agreements,22088
earnings,22066
according,22061
play,21996
ceo,21950
agreed,21909
donna,21834
season,21819
league,21782
show,21736
reply,21718
keith,21706
